text,length
"CHÚC MỪNG SINH VIÊN PTIT TỎA SÁNG VỚI BA GIẢI THƯỞNG CAO QUÝ TẠI VIETFUTURE AWARDS 2025!
VietFuture Awards là giải thưởng thường niên do Hiệp hội Phần mềm và Dịch vụ CNTT Việt Nam (VINASA) tổ chức, nhằm tôn vinh và thúc đẩy những dự án khởi nghiệp đổi mới sáng tạo của sinh viên trên toàn quốc. Đây không chỉ là sân chơi cho tài năng, mà còn là cầu nối hợp tác giữa các trường đại học và doanh nghiệp, thúc đẩy thương mại hóa các nghiên cứu, đồng thời mở rộng cơ hội nghề nghiệp cho sinh viên.
Trong hành trình chinh phục đỉnh cao sáng tạo, hai đội sinh viên Chương trình Công nghệ Thông tin Định hướng Ứng dụng của PTIT đã xuất sắc ghi dấu ấn với các giải thưởng xuất sắc tại VietFuture Awards 2025:
Giải Nhất & Giải Đặc biệt thuộc về dự án Unijob — nền tảng AI kết nối sinh viên, doanh nghiệp và nhà trường, giúp chuẩn hóa hồ sơ năng lực và tối ưu cơ hội tìm việc làm, mang đến giải pháp công nghệ thiết thực cho thị trường tuyển dụng.
Giải Ba thuộc về dự án Myosotis — hệ thống AI chăm sóc cá nhân hóa dành cho bệnh nhân sa sút trí tuệ và Alzheimer, tích hợp chatbot y tế, công nghệ giọng nói và hình ảnh, tạo nên giải pháp y tế toàn diện với chi phí tiết kiệm, góp phần nâng cao chất lượng cuộc sống cho người cao tuổi.
Giải Tiềm năng thuộc về Dự án Giải pháp AI phát hiện rối loạn nhịp tim tự động dựa trên tín hiệu điện tâm đồ.
Đặc biệt, Giải Đặc biệt chỉ dành cho 3 đội xuất sắc nhất, được chọn từ 7 đội đạt giải Nhất. Đây là phần thưởng cao quý với nhiều quyền lợi giá trị: Startup POD trị giá 880 USD tại GITEX Vietnam, cơ hội kết nối nhà đầu tư, vé đại biểu toàn quyền tham dự sự kiện, lưu trú và đi lại khứ hồi TP.HCM – Hà Nội.
Với kết quả xuất sắc của 3 đội thi dành được 4 giải, Học viện được trao giải Nhì toàn đoàn. Thành công này là lời khẳng định cam kết của sinh viên PTIT trong việc phát triển các sản phẩm công nghệ có giá trị ứng dụng cao, góp phần xây dựng cộng đồng và phát triển xã hội bền vững.
Xin gửi lời chúc mừng và cảm ơn sâu sắc tới các bạn sinh viên cùng đội ngũ hướng dẫn đã làm rạng danh PTIT trên đấu trường công nghệ uy tín này!
Hãy đồng hành và tiếp tục ủng hộ những tài năng trẻ của chúng ta trong các chặng đường phía trước!
#PTIT #VietFutureAwards2025 #UDU #CNTTdinhhuongungdung
_______________________________
HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG
Trụ sở chính: 122 Hoàng Quốc Việt, P.Nghĩa Đô, Hà Nội.
Học viện Cơ sở tại TPHCM: 11 Nguyễn Đình Chiểu, P. Sài gòn, Thành phố Hồ Chí Minh.
Cơ sở Đào tạo tại Hà Đông: Km10 Đường Nguyễn Trãi, P.Hà Đông, Hà Nội.
Cơ sở Đào tạo tại Ngọc Trục: Ngõ 33, Đường Đại Mỗ, P.Dương Nội, Hà Nội.
Cơ sở Đào tạo tại TP.HCM: 97 Đường Man Thiện, P. Tăng Nhơn Phú,  TP.Hồ Chí Minh
► Website: https://ptit.edu.vn
► Fanpage: 
https://facebook.com/HocvienPTIT
► Tuyển sinh: https://tuyensinh.ptit.edu.vn/
► Youtube: https://www.youtube.com/@PChannels
► Tiktok: https://www.tiktok.com/@langthangptit",2865
Chúc mừng zai mẹ nhé,20
Xin chúc mừng các bạn trẻ,25
"1 bữa lẩu ở iec nhé
Nguyễn Trang",32
"Nguyễn Trang
chờ quà hcm lâu quá",32
Chúc mừng sinh viên học giỏi,28
Chúc mừng sinh viên PTIT.học giỏi quá,37
Chúc mừng các bạn trẻ.,22
"Chi Thuy
oách quá",17
"Chi Thuy
bạn này đỉnh quá là đỉnh",33
